CellName	Cluster	Score	Sample
Stroma_Adventitial Fibroblast	MP_PA_Demo_Cluster0	0.010027571	Demo
Stroma_Adventitial Fibroblast	PA_Demo_Cluster1	0.005788786	Demo
Stroma_Adventitial Fibroblast	MP_Demo_Cluster2	0.003140407	Demo
Stroma_Adventitial Fibroblast	S_Demo_Cluster3	0.00195818	Demo
Stroma_Adventitial Fibroblast	S_Demo_Cluster4	0.004322123	Demo
Stroma_Adventitial Fibroblast	S_Demo_Cluster5	0.22438488	Demo
Stroma_Adventitial Fibroblast	S_Demo_Cluster6	0.01836862	Demo
Stroma_Adventitial Fibroblast	S_Demo_Cluster7	0.003468443	Demo
Stroma_Adventitial Fibroblast	PA_Demo_Cluster8	0.000200071	Demo
Stroma_Adventitial Fibroblast	MP_Demo_Cluster9	0	Demo
Stroma_Airway Smooth Muscle	MP_PA_Demo_Cluster0	0.027734653	Demo
Stroma_Airway Smooth Muscle	PA_Demo_Cluster1	0.003771854	Demo
Stroma_Airway Smooth Muscle	MP_Demo_Cluster2	0.001981788	Demo
Stroma_Airway Smooth Muscle	S_Demo_Cluster3	0.008841637	Demo
Stroma_Airway Smooth Muscle	S_Demo_Cluster4	0.01847466	Demo
Stroma_Airway Smooth Muscle	S_Demo_Cluster5	0.082820276	Demo
Stroma_Airway Smooth Muscle	S_Demo_Cluster6	0.025506434	Demo
Stroma_Airway Smooth Muscle	S_Demo_Cluster7	0.01046709	Demo
Stroma_Airway Smooth Muscle	PA_Demo_Cluster8	0.001626965	Demo
Stroma_Airway Smooth Muscle	MP_Demo_Cluster9	0.025091338	Demo
Epithelial_Alveolar Epithelial Type 1	MP_PA_Demo_Cluster0	0.012501971	Demo
Epithelial_Alveolar Epithelial Type 1	PA_Demo_Cluster1	0.011517749	Demo
Epithelial_Alveolar Epithelial Type 1	MP_Demo_Cluster2	0	Demo
Epithelial_Alveolar Epithelial Type 1	S_Demo_Cluster3	0.003560305	Demo
Epithelial_Alveolar Epithelial Type 1	S_Demo_Cluster4	0.062431387	Demo
Epithelial_Alveolar Epithelial Type 1	S_Demo_Cluster5	0.001111492	Demo
Epithelial_Alveolar Epithelial Type 1	S_Demo_Cluster6	0.011135005	Demo
Epithelial_Alveolar Epithelial Type 1	S_Demo_Cluster7	0.003222923	Demo
Epithelial_Alveolar Epithelial Type 1	PA_Demo_Cluster8	0.064634049	Demo
Epithelial_Alveolar Epithelial Type 1	MP_Demo_Cluster9	0.033467296	Demo
Epithelial_Alveolar Epithelial Type 2	MP_PA_Demo_Cluster0	0.001702168	Demo
Epithelial_Alveolar Epithelial Type 2	PA_Demo_Cluster1	0.293475639	Demo
Epithelial_Alveolar Epithelial Type 2	MP_Demo_Cluster2	0.000557021	Demo
Epithelial_Alveolar Epithelial Type 2	S_Demo_Cluster3	0.00022997	Demo
Epithelial_Alveolar Epithelial Type 2	S_Demo_Cluster4	0.017463991	Demo
Epithelial_Alveolar Epithelial Type 2	S_Demo_Cluster5	0.002622882	Demo
Epithelial_Alveolar Epithelial Type 2	S_Demo_Cluster6	0.008289123	Demo
Epithelial_Alveolar Epithelial Type 2	S_Demo_Cluster7	0.563657579	Demo
Epithelial_Alveolar Epithelial Type 2	PA_Demo_Cluster8	0.176040932	Demo
Epithelial_Alveolar Epithelial Type 2	MP_Demo_Cluster9	0.010650849	Demo
Stroma_Alveolar Fibroblast	MP_PA_Demo_Cluster0	0.055280545	Demo
Stroma_Alveolar Fibroblast	PA_Demo_Cluster1	0.046635584	Demo
Stroma_Alveolar Fibroblast	MP_Demo_Cluster2	0.016319153	Demo
Stroma_Alveolar Fibroblast	S_Demo_Cluster3	0.012742807	Demo
Stroma_Alveolar Fibroblast	S_Demo_Cluster4	0.003881463	Demo
Stroma_Alveolar Fibroblast	S_Demo_Cluster5	0.073221938	Demo
Stroma_Alveolar Fibroblast	S_Demo_Cluster6	0.011520519	Demo
Stroma_Alveolar Fibroblast	S_Demo_Cluster7	0.005676383	Demo
Stroma_Alveolar Fibroblast	PA_Demo_Cluster8	0.008946579	Demo
Stroma_Alveolar Fibroblast	MP_Demo_Cluster9	0.005898734	Demo
Endothelial_Artery	MP_PA_Demo_Cluster0	0.023525648	Demo
Endothelial_Artery	PA_Demo_Cluster1	0.003018554	Demo
Endothelial_Artery	MP_Demo_Cluster2	0.030151453	Demo
Endothelial_Artery	S_Demo_Cluster3	0.012255702	Demo
Endothelial_Artery	S_Demo_Cluster4	0.004996726	Demo
Endothelial_Artery	S_Demo_Cluster5	0.004317231	Demo
Endothelial_Artery	S_Demo_Cluster6	0.009582596	Demo
Endothelial_Artery	S_Demo_Cluster7	0.000941541	Demo
Endothelial_Artery	PA_Demo_Cluster8	0.000989432	Demo
Endothelial_Artery	MP_Demo_Cluster9	0.005447156	Demo
Immune_B	MP_PA_Demo_Cluster0	0.053783536	Demo
Immune_B	PA_Demo_Cluster1	4.19E-05	Demo
Immune_B	MP_Demo_Cluster2	0.009185487	Demo
Immune_B	S_Demo_Cluster3	0.047923324	Demo
Immune_B	S_Demo_Cluster4	0.001620924	Demo
Immune_B	S_Demo_Cluster5	0.003062017	Demo
Immune_B	S_Demo_Cluster6	0.0533364	Demo
Immune_B	S_Demo_Cluster7	0	Demo
Immune_B	PA_Demo_Cluster8	5.41E-06	Demo
Immune_B	MP_Demo_Cluster9	0.049846002	Demo
Epithelial_Basal	MP_PA_Demo_Cluster0	0.011061676	Demo
Epithelial_Basal	PA_Demo_Cluster1	0.013077679	Demo
Epithelial_Basal	MP_Demo_Cluster2	0.000136573	Demo
Epithelial_Basal	S_Demo_Cluster3	0.009906237	Demo
Epithelial_Basal	S_Demo_Cluster4	0.148407525	Demo
Epithelial_Basal	S_Demo_Cluster5	0.008617979	Demo
Epithelial_Basal	S_Demo_Cluster6	0.031137826	Demo
Epithelial_Basal	S_Demo_Cluster7	0.140693668	Demo
Epithelial_Basal	PA_Demo_Cluster8	0.289289524	Demo
Epithelial_Basal	MP_Demo_Cluster9	0.06235771	Demo
Immune_Basophil/Mast 1	MP_PA_Demo_Cluster0	0.013558176	Demo
Immune_Basophil/Mast 1	PA_Demo_Cluster1	0.002983602	Demo
Immune_Basophil/Mast 1	MP_Demo_Cluster2	0.004513039	Demo
Immune_Basophil/Mast 1	S_Demo_Cluster3	0.025130281	Demo
Immune_Basophil/Mast 1	S_Demo_Cluster4	0.013779405	Demo
Immune_Basophil/Mast 1	S_Demo_Cluster5	0.022117458	Demo
Immune_Basophil/Mast 1	S_Demo_Cluster6	0.030027788	Demo
Immune_Basophil/Mast 1	S_Demo_Cluster7	0.010861838	Demo
Immune_Basophil/Mast 1	PA_Demo_Cluster8	0.007250745	Demo
Immune_Basophil/Mast 1	MP_Demo_Cluster9	0.028368876	Demo
Immune_Basophil/Mast 2	MP_PA_Demo_Cluster0	0.004707763	Demo
