CellName	Stroma_Adventitial Fibroblast	Stroma_Airway Smooth Muscle	Epithelial_Alveolar Epithelial Type 1	Epithelial_Alveolar Epithelial Type 2	Stroma_Alveolar Fibroblast	Endothelial_Artery	Immune_B	Epithelial_Basal	Immune_Basophil/Mast 1	Immune_Basophil/Mast 2	Endothelial_Bronchial Vessel 1	Endothelial_Bronchial Vessel 2	Endothelial_Capillary	Endothelial_Capillary Aerocyte	Endothelial_Capillary Intermediate 1	Endothelial_Capillary Intermediate 2	Immune_CD4+ Memory/Effector T	Immune_CD4+ Naive T	Immune_CD8+ Memory/Effector T	Immune_CD8+ Naive T	Epithelial_Ciliated	Immune_Classical Monocyte	Epithelial_Club	Immune_Dendritic	Epithelial_Differentiating Basal	Immune_EREG+ Dendritic	Stroma_Fibromyocyte	Epithelial_Goblet	Immune_IGSF21+ Dendritic	Immune_Intermediate Monocyte	Epithelial_Ionocyte	Stroma_Lipofibroblast	Endothelial_Lymphatic	Immune_Macrophage	Stroma_Mesothelial	Epithelial_Mucous	Immune_Myeloid Dendritic Type 1	Immune_Myeloid Dendritic Type 2	Stroma_Myofibroblast	Immune_Natural Killer	Immune_Natural Killer T	Epithelial_Neuroendocrine	Immune_Neutrophil	Immune_Nonclassical Monocyte	Immune_OLR1+ Classical Monocyte	Stroma_Pericyte	Immune_Plasma	Immune_Plasmacytoid Dendritic	Immune_Platelet/Megakaryocyte	Epithelial_Proliferating Basal	Immune_Proliferating Macrophage	Immune_Proliferating NK/T	Epithelial_Proximal Basal	Epithelial_Proximal Ciliated	Epithelial_Serous	Epithelial_Signaling Alveolar Epithelial Type 2	Immune_TREM2+ Dendritic	Stroma_Vascular Smooth Muscle	Endothelial_Vein
ST_P1_Cluster8	0.041473009	0.06554888	0.001665985	0.005850031	0.011069418	0.021391494	0.022660648	0.001883903	0.005906227	0.017745145	0.005080186	0.005666091	0.045529948	0.013545829	0.003073103	0.002621034	0.010346225	0.001477822	0.006996194	0.002020543	0.098273786	0.003001263	0.006808559	0	0.00054561	0.002740234	9.41E-05	0.000424367	0.027523147	0.001948128	0.000128858	0.007775006	0.018196573	0.128842658	0	0.01377869	0.003366024	0.000521525	0.003371239	0.00156798	0.0007756	2.08E-05	1.59E-06	0.000676548	0	0.016814328	0.072198291	0.027495517	2.38E-06	0	0.000117842	0.000333069	0	0	0	0.000308921	0.222458027	0.013204429	0.03513322
ST_P6_Cluster1	0.003270855	0.013487657	0.002241509	0.089563024	0.0951776	0.034053826	0.051164935	0.001385525	0.007851493	0.000646758	0.017769018	0.000517055	0.009385124	0.0032421	0.004692908	0.007634407	0.16190738	0.051831487	0.023078853	0.008523705	0.049774507	0.006257223	0.000818621	0	5.54E-05	0.002724494	0.001268077	2.67E-05	0.000902495	0.002066345	0	0	0.008349588	0.146074836	6.84E-05	2.88E-05	0.003505275	0.003918054	0.002218967	0.017266641	0.000495162	0.012983608	0.000463268	0.004278539	0.000836256	0.029408826	0.00333178	0.000809031	0.008017314	0.000214675	0.001738104	4.18E-05	5.90E-06	0.000604042	0.002969976	0.014352584	0.019095595	0.021724223	0.04587971
ST_P6_Cluster8	0.004819409	0.069402009	0.00412349	0.028542913	0.04521549	0.021487506	0.058622036	0	0.015341964	0	0.004896461	0.000112672	0.023583447	0.004709121	0.005108404	0.01222936	0.022137985	0.048239072	0.000902668	0.001130217	0.017305802	0.026866806	0.006365052	0	0.006702549	0.000417607	0.008736392	0.023988784	0.052090299	0.000796833	0	0.004795462	0.114920812	0.040462583	0.008676225	0.002708561	0.002535909	0.008321273	0.004476213	0.022138084	0	0.034663739	0.008982808	0.00407845	0	0.051899284	0.016674965	0	0.002087872	0	0.015857173	0.008337915	0.001113352	0.020795769	0.007101651	0	0	0.059996238	0.045501313
ST_P7_Cluster0	0	0.056204291	0.033029873	0.001884801	5.28E-05	0	0.053920781	0.008292497	0.015029246	0.015205699	0.005976196	0.002228366	0.083391669	0.102198017	0.030094189	0.067395586	0.037057025	0.053367228	0.000381031	0.040635186	0.00386457	0.059551823	0.014285283	0	0.007128396	0.000976177	0	0.002393487	0.003036873	0.009130414	0.007519617	0	0.02688403	0.088293465	0	0.005295474	0.003150553	5.99E-05	2.82E-06	0.0584381	0.011493301	0.003360652	0.001542497	0.028763694	0.000447946	0.004563778	0.000443591	0	0.007282519	0.006282011	0	5.07E-05	5.00E-06	0	0	0.000891742	0.001109815	0.026251603	0.01115569
ST_P7_Cluster4	0.00401241	0.011745684	0.032910001	0.007575602	0.00314711	0	0.033136114	0.022121164	0.021368647	0.00119167	0.020306638	0.000218358	0.026899901	0.005370201	0.006215449	0.05000021	0.079776612	0.030783857	0.002593129	0.002359204	0.00082906	0.05834064	0.008593075	0.000255964	0.00311745	0.017020091	0.000559336	0.000775021	0.010985472	0.020203252	2.66E-06	0.000426525	0.009180312	0.361232956	0	0.007744669	0.001405281	0.0001338	0.001036887	0.018794593	6.68E-05	0.001890461	0.000427384	0.005899501	0.043582646	0.011759334	0.008020151	0.000300907	0.004203892	0.001211432	0.006758159	0.003460027	6.71E-06	0	0	0	0.018917415	0.006227167	0.004899037
ST_P7_Cluster9	0	0.002337552	0.021051179	0.201692223	0	0	0.011419675	0.001271567	0.00021194	0	0.019839582	0.00039973	0.145719436	0.028057893	0.031854362	0.047527282	0.033009639	0.021454473	0	0.049684688	0.002059111	0.039825944	0.004496117	0	0.000824509	0	0	0	0	0.000293786	0.014818551	0	0.0019077	0.182184717	0	0.003536143	0.011175338	0.000967452	0	0.056487987	0.00817668	0.000403355	6.90E-06	0.002091006	0.002695954	4.26E-05	0	0	0.004416039	0.001670195	0	6.68E-05	0	0	0	0.044921397	3.98E-05	2.55E-05	0.001335157
ST_P8_Cluster0	0.003264407	0.032250486	0.061319765	0.063014381	0.06959953	0.017120785	0.000808153	0.006833469	0.030067628	0.007636157	0.014031228	0.002289321	0.010220962	0.004682134	0.006778742	0.01158034	0.19273098	0.214955828	0.042552692	0.014757938	8.53E-05	0.009246324	0.003549408	0	0.005410861	6.31E-05	0	2.65E-05	0	0.002052713	0	0	0.008213958	0.035969324	0	3.30E-05	2.64E-06	9.33E-06	0.001871528	0.016674266	0	6.21E-06	0.001432864	0.003500266	0.001404553	0.05160432	7.48E-05	0	0.008580375	0	4.74E-05	0.000430052	0.001701672	0	0	0.000157575	2.47E-05	0.021816679	0.019515357
ST_P8_Cluster7	0.000291192	0	0.099611502	0.007326019	0.012168577	0.01856733	7.76E-05	6.57E-05	0.000459139	0.000272296	0.001384685	0	0.001687314	0.000544028	0.000589085	0.009722648	0.07767523	0.217390407	0.001366087	0.002744955	0	0.000447843	0	0	0.001685505	9.16E-05	0	0	0.004930713	7.23E-05	0	0	0	0.509004135	0	0	0	0	8.03E-05	0.005156793	0	0	0	0.000141465	0.000456335	0.00849123	0	0	0.004415423	0	0.000645528	0.000564443	0	0	0	0	0.000329195	0.006162776	0.005380597
PA_ST_P1_Cluster3	0.115527833	0.012298976	0.012871293	0.022688562	0.192629395	0.013521371	0.001398302	0.042066293	0.00176213	0.00094026	0.011646333	0.000155738	0.020349395	0.014062614	0.004590312	0.002461918	0.001610903	0.000361457	0.001620931	0.002348551	0	0.000195599	0.145288674	0	0.017791732	0.000307809	0.015949161	0.018899196	0.000463835	0.000832808	0.000185477	0.001468236	0.02648418	0.013882534	0.003448399	0.067138771	0.000256628	0.000186129	0.027493739	0.007882532	7.82E-05	1.78E-05	0	0.000327917	1.02E-05	0.032289803	0.001221414	0.001393798	0.000419212	0.004046511	0.002439347	0.000294491	0.001323849	0	0.01074187	0.003474016	0.00011069	0.064719793	0.054023124
PA_ST_P1_Cluster5	0.001949769	0.003836352	0.108342554	0.010587479	0.017237973	0.008194676	0.019912925	0.114754501	0.001159283	0.001474966	0.002584769	0	0.106827231	0.085355218	0.020516679	0.015728774	0.010139909	0.000453549	0.019057857	0.015728242	5.91E-06	0.012419725	0.036316733	0	0.061052625	0.007770287	9.72E-05	0.017920187	0.000604159	0.001356676	0.035397849	0	0.032147958	0.088098028	0.006151619	0.000656782	0.006891414	9.91E-05	0.009958879	0.002018364	5.95E-06	0.034817516	0	0.000266079	0.000700652	0.012470046	0.015820873	0.00789742	1.33E-05	0.013290077	0.009323701	0.000395657	0.001106599	0	0	0	0.000277161	0.003136343	0.017672435
PA_ST_P1_Cluster7	0	0	0.088052306	0.010455723	0.000322406	0.000481229	0.010316251	0.107556391	0.001509972	0.000223856	0.006445641	0	0.025079459	0.030138204	0.003630702	0.002995413	0.017171521	0.000545971	0.021437686	0.031599244	0.001833964	0.003454602	0.203033209	0	0.038026842	0.00169258	0.000633047	0.040564019	0	0.000554107	0	0	0.00122201	0.176825024	0.000718053	0.05262673	0.000278025	0.017014257	0.001112453	0.002674749	0	0	5.42E-06	7.93E-05	0.00329905	0.003991592	0.000696655	0.000951466	0.001812185	0.002439995	0.074140523	0.000161028	0.000455645	0	0	0	0	0.000858492	0.01088304
PA_ST_P5_Cluster1	0.005788786	0.003771854	0.011517749	0.293475639	0.046635584	0.003018554	4.19E-05	0.013077679	0.002983602	2.45E-05	0.003066141	0.000914851	0.024993363	0.01902995	0.001535504	0.00407844	0.001992859	0.00027394	6.97E-05	0.000406863	0.011261037	0.000658881	0.234756849	0	0.000976884	0.000161566	0.001010519	0.021817768	0.0012154	0.000410392	0	0	0.009033984	0.01528204	0	0.178110761	4.40E-05	0	0.004386797	0.003682965	4.09E-05	4.39E-06	0	0.000298838	0.000580759	0.014952068	0.000281859	0.000153663	0	0	0	0.000863531	2.63E-05	0	0.017491835	0.032267011	0.000717367	0.003585751	0.00922848
PA_ST_P5_Cluster8	0.000200071	0.001626965	0.064634049	0.176040932	0.008946579	0.000989432	5.41E-06	0.289289524	0.007250745	0.000467057	0.001539584	0.002381132	0.048974529	0.005923343	0.015724131	0.001098048	0.003738714	4.55E-06	0	0.000367104	0.029516185	0.000180784	0.1177263	0	0.056205402	0	0	0.030430155	0	0	0	0	0.002117877	0.000499097	0	0.068128517	0	0	0.000107728	0.003854513	0	0	0	0.000309929	0	0.025048415	0.000484748	0	0.001754292	0.003805662	0	0.001853171	0.005248635	0	0.011267902	0.000959659	0	0.0014062	0.009892925
PA_ST_P6_Cluster10	0	0.009019876	0.038093004	0.000651468	0.003075233	0.061448074	0.001486722	0.02043785	0.172943661	0.000117969	0.000513469	0	0.020133189	0.005881813	0.010721113	0.033083076	0.000522176	0.009429902	0	0.026308451	0.040378724	0.006045539	0.001748946	0	0.000282554	0.004542951	0	0.015639337	0.001870059	0	6.90E-05	0	0.000441857	0.108328894	0	0.09832149	0.002257677	0.032958562	0.000585931	0.06081229	0.005678197	0.000284988	0.000852652	0.0743281	0.016292093	0.000318722	0.000228846	0	0	0.029334724	0.003894915	0.075694278	0	0	0.004386483	0	0.000555134	0	0
Lep_ST_P8_Cluster2	0.000147693	0.000697254	0.064091387	0.10099797	0.000133986	4.31E-05	0.008786384	0.023512809	0.002066408	0.000137979	2.28E-05	3.30E-05	0.035221248	0.022602964	0.019516709	0.023803055	0.011870745	0.006729505	4.90E-06	0.006253339	1.00E-05	0.015391734	0.512763972	0	0.011549571	0.000356424	0.00016528	0.001034913	1.62E-05	0.000155954	0.002369534	4.45E-05	7.72E-06	0.039573756	0	0.008748653	2.19E-05	0.001002561	0.001408394	0.028723308	0.009720979	2.10E-05	0.000175006	0.001868027	0.000150071	0.00031578	0.00012271	0.000173628	0.000713524	0.001515799	0.000947409	0.01868606	0.000595114	0	0	0.013940652	8.59E-05	0.000172161	0.00077844
Lep_ST_P8_Cluster3	0.044082758	0.019825556	0.007722636	0.102092386	0.055356025	0.01299791	0.08801459	0.022075803	0.015564089	0.008517648	0.011930002	1.15E-05	0.029673074	0.01118431	0.00539335	0.005893888	0.008338285	0.006499588	0.000271517	0.000516669	0.00111205	0.009583807	0.038203057	0.001198781	0.004803642	0.000346308	0.003026035	0.012237842	0.000201476	0.000299615	0.000921407	0.013938048	0.074792284	0.01762038	0.001645126	0.033087473	0.000165025	0.000104383	0.022253471	0.005670869	0.000636253	7.88E-05	0.005969353	0.000605345	0.001897875	0.007778413	0.1286948	0.042965149	0.003951798	0.008547381	9.51E-05	0.00277855	0.003151513	0	0	0.004415378	0.005107086	0.036395893	0.049758632
Lep_ST_P8_Cluster6	7.58E-05	0.001879788	0.061377861	0.100466831	0.000296801	0.001489474	0.015790807	0.020358631	0.011708127	0.000442902	5.03E-05	0.003559352	0.012572551	0.007066056	0.006587219	0.020588035	0.026827187	0.067934591	0	0.011819038	0.001855048	0.008034441	0.02887977	0	0.015020073	0.001422611	0	0	0.005653944	0.000792813	0.000197897	0	0.00101756	0.295814646	2.23E-06	0	0.000103238	0.000168777	0.001289742	0.107130458	0.006090574	0	0.000583341	0.000459539	0.016385786	0.061269854	0.012584174	0	0.000229197	0.012359412	0.000492733	0.003869525	7.86E-05	0	0	0.033694793	0.012947406	0.000680467	0
