Subtype	Cluster	Cell	Score	Celltype
MP	MP_ST_P7_Cluster2	CD4+ Memory/Effector T	0.0322984916461696	Immune
MP	MP_ST_P7_Cluster2	CD4+ Naive T	0.0162017327552186	Immune
MP	MP_ST_P7_Cluster2	CD8+ Memory/Effector T	0.0258904142591855	Immune
MP	MP_ST_P7_Cluster2	CD8+ Naive T	0.01603044452614	Immune
MP	MP_ST_P7_Cluster2	Natural Killer	0.0272584081203553	Immune
MP	MP_ST_P7_Cluster2	Classical Monocyte	0.0150934675257333	Immune
MP	MP_ST_P7_Cluster2	Nonclassical Monocyte	0.00248765837873452	Immune
MP	MP_ST_P7_Cluster2	Myeloid Dendritic Type 2	0.00412556487189575	Immune
MP	MP_ST_P7_Cluster2	Platelet/Megakaryocyte	2.65315881296346e-05	Immune
MP	MP_ST_P7_Cluster2	B	0.00377986241804462	Immune
MP	MP_ST_P7_Cluster2	IGSF21+ Dendritic	0.00228298159977225	Immune
MP	MP_ST_P7_Cluster2	EREG+ Dendritic	0	Immune
MP	MP_ST_P7_Cluster2	Plasmacytoid Dendritic	0	Immune
MP	MP_ST_P7_Cluster2	Myeloid Dendritic Type 1	0.00195726223018743	Immune
MP	MP_ST_P7_Cluster2	TREM2+ Dendritic	0.000190290303224206	Immune
MP	MP_ST_P7_Cluster2	Differentiating Basal	0.00131313132486194	Epithelial
MP	MP_ST_P7_Cluster2	Proliferating Basal	0.00550004152016133	Epithelial
MP	MP_ST_P7_Cluster2	Basal	0.00165021659642464	Epithelial
MP	MP_ST_P7_Cluster2	Plasma	0	Immune
MP	MP_ST_P7_Cluster2	Macrophage	0.244375436910367	Immune
MP	MP_ST_P7_Cluster2	Basophil/Mast 1	0.00927896268499385	Immune
MP	MP_ST_P7_Cluster2	Proliferating Macrophage	0.00278148710405518	Immune
MP	MP_ST_P7_Cluster2	Capillary Aerocyte	0.0145212133107951	Endothelial
MP	MP_ST_P7_Cluster2	Capillary	0.00655241395001034	Endothelial
MP	MP_ST_P7_Cluster2	Bronchial Vessel 2	6.1548882739828e-05	Endothelial
MP	MP_ST_P7_Cluster2	Vein	0	Endothelial
MP	MP_ST_P7_Cluster2	Artery	0	Endothelial
MP	MP_ST_P7_Cluster2	Lymphatic	0.000309044522985861	Endothelial
MP	MP_ST_P7_Cluster2	Bronchial Vessel 1	0.000149730123198008	Endothelial
MP	MP_ST_P7_Cluster2	Airway Smooth Muscle	3.41931822014064e-06	Stroma
MP	MP_ST_P7_Cluster2	Alveolar Epithelial Type 2	0.238674630594638	Epithelial
MP	MP_ST_P7_Cluster2	Club	0.204866518370479	Epithelial
MP	MP_ST_P7_Cluster2	Pericyte	0.0011035435197819	Stroma
MP	MP_ST_P7_Cluster2	Myofibroblast	0	Stroma
MP	MP_ST_P7_Cluster2	Alveolar Epithelial Type 1	0.0343983493461703	Epithelial
MP	MP_ST_P7_Cluster2	Ciliated	0.000436632279284783	Epithelial
MP	MP_ST_P7_Cluster2	Adventitial Fibroblast	0	Stroma
MP	MP_ST_P7_Cluster2	Alveolar Fibroblast	0.000898130021660099	Stroma
MP	MP_ST_P7_Cluster2	Lipofibroblast	0	Stroma
MP	MP_ST_P7_Cluster2	Mesothelial	0	Stroma
MP	MP_ST_P7_Cluster2	Capillary Intermediate 1	0	Endothelial
MP	MP_ST_P7_Cluster2	Capillary Intermediate 2	0.00259391618064964	Endothelial
MP	MP_ST_P7_Cluster2	Vascular Smooth Muscle	8.21242072997099e-06	Stroma
MP	MP_ST_P7_Cluster2	Mucous	0.0123278612443968	Epithelial
MP	MP_ST_P7_Cluster2	Proliferating NK/T	0.00327471251157413	Immune
MP	MP_ST_P7_Cluster2	Natural Killer T	0.000264938081571538	Immune
