MacroType	Alveolar_resident_Macrophage	Angiogenesis	Anti-inflammatory_macrophages	Early-stage_Macrophage	M1_like	M2_like	Perivascular_resident_Macrophage	Phagocytosis	Proliferating_Macrophage	Tumor-associated_Macrophage
ST_P1_Cluster8	2.267168	1.862517	7.546677	0	0	4.253776	4.093693	6.776864	0	0
ST_P6_Cluster1	7.303944	0	3.56359	0	0	6.837695	2.84144	7.670788	0	0
ST_P6_Cluster8	2.995201	0	0	0	0	0	0	0	0	0
ST_P7_Cluster4	6.22799	5.459131	7.472597	0	0	7.545909	0	5.463413	3.266369	5.068551
ST_P7_Cluster9	0	0	4.314343	0	0	0	0	0	0	0
ST_P8_Cluster0	3.445416	0	2.489082	0	0	1.531642	0	0	0	0
ST_P8_Cluster7	13.88699	1.297964	1.977356	0	0	3.920448	0	7.368829	2.91052	0
PA_ST_P1_Cluster3	0	1.4017	5.112792	0	0	2.045759	0	0	0	0
PA_ST_P1_Cluster7	1.77184	1.501503	3.673408	0	0	0	0	0	0	2.915126
PA_ST_P5_Cluster1	0	0.609914	0	0	0.9139272	0.4288018	0	0	0	0
PA_ST_P5_Cluster8	2.472921	1.229357	1.611148	0	0	1.302706	1.499845	0	0	1.499845
PA_ST_P6_Cluster10	0	1.607768	0	0	1.980783	0	0	0	3.248303	3.029259
Lep_ST_P8_Cluster3	0	2.196778	2.914686	0	2.582611	0	0	0	0	0
Lep_ST_P8_Cluster8	0.7138616	0.9981977	1.070235	0	0	0	0	0	0	1.733123
MA_ST_P6_Cluster3	3.316844	4.215157	2.403458	3.348244	3.474794	6.360539	0	8.255328	0	0
MA_ST_P6_Cluster5	2.40007	0	0	0	0	0	0	0	0	0
MP_ST_P1_Cluster0	0	3.283803	0	0	0	0	0	0	0	0
MP_ST_P1_Cluster10	7.462231	5.021413	6.579763	0	0	7.586088	0	9.085648	0	3.536444
MP_ST_P1_Cluster2	0	0	0	0	0	2.605993	0	0	0	0
MP_ST_P5_Cluster2	1.788839	0	3.699736	0	0	4.495322	2.93296	5.290573	0	0
MP_ST_P5_Cluster9	0	3.946734	3.116797	6.681721	8.549343	2.132556	0	0	0	0
MP_ST_P6_Cluster7	0	1.650337	0	0	0	1.401979	0	0	0	0
MP_ST_P7_Cluster1	1.603081	2.325361	0	0	1.700784	2.931422	2.736706	4.99229	0	0
MP_ST_P7_Cluster2	0	0	2.638485	0	0	0	0	0	0	0
MP_ST_P7_Cluster5	0	1.784804	2.490314	0	0	2.621034	0	0	0	5.325424
MP_ST_P7_Cluster6	2.210471	0	1.659614	0	0	0.7878928	2.363285	0	0	0
MP_ST_P7_Cluster7	3.071781	5.762524	3.979459	0	0	4.796962	0	4.23309	4.23309	2.238535
MP_ST_P7_Cluster8	0	1.713513	1.592787	0	0	1.364007	2.293305	2.508467	0	0
MP_ST_P8_Cluster4	0	3.844081	0	0	0	6.595592	3.781288	0	0	0
MP_ST_P8_Cluster5	6.776221	2.224671	4.829115	2.882386	1.632659	10.35786	2.664841	7.311732	4.883604	2.664841
S_ST_P5_Cluster4	2.260929	1.037517	1.693647	4.478283	3.592044	0.8164215	0	0	0	4.086977
S_ST_P5_Cluster5	1.961078	2.863175	2.387743	0	0	2.473232	0	0	0	0
S_ST_P5_Cluster6	0	4.594423	3.546844	0	0	0	0	0	0	4.283401
S_ST_P5_Cluster7	1.054196	0.7342355	2.530308	3.093479	2.728401	1.307723	0	0	0	2.715273
