N_ST_P1_Cluster8	ST_P1.8
N_ST_P6_Cluster1	ST_P6.1
N_ST_P6_Cluster8	ST_P6.8
N_ST_P7_Cluster0	ST_P7.0
N_ST_P7_Cluster4	ST_P7.4
N_ST_P7_Cluster9	ST_P7.9
N_ST_P8_Cluster0	ST_P8.0
N_ST_P8_Cluster7	ST_P8.7
LA_ST_P1_Cluster3	ST_P1.3
LA_ST_P1_Cluster5	ST_P1.5
LA_ST_P1_Cluster7	ST_P1.7
LA_ST_P5_Cluster1	ST_P5.1
LA_ST_P5_Cluster8	ST_P5.8
LA_ST_P6_Cluster10	ST_P6.10
Lep_ST_P8_Cluster2	ST_P8.2
Lep_ST_P8_Cluster3	ST_P8.3
Lep_ST_P8_Cluster6	ST_P8.6
Lep_ST_P8_Cluster8	ST_P8.8
MA_ST_P6_Cluster0	ST_P6.0
MA_ST_P6_Cluster3	ST_P6.3
MA_ST_P6_Cluster5	ST_P6.5
MP_ST_P1_Cluster0	ST_P1.0
MP_ST_P1_Cluster1	ST_P1.1
MP_ST_P1_Cluster10	ST_P1.10
MP_ST_P1_Cluster2	ST_P1.2
MP_ST_P1_Cluster4	ST_P1.4
MP_ST_P1_Cluster6	ST_P1.6
MP_ST_P1_Cluster9	ST_P1.9
MP_ST_P5_Cluster2	ST_P5.2
MP_ST_P5_Cluster9	ST_P5.9
MP_ST_P6_Cluster2	ST_P6.2
MP_ST_P6_Cluster7	ST_P6.7
MP_ST_P7_Cluster1	ST_P7.1
MP_ST_P7_Cluster2	ST_P7.2
MP_ST_P7_Cluster3	ST_P7.3
MP_ST_P7_Cluster5	ST_P7.5
MP_ST_P7_Cluster6	ST_P7.6
MP_ST_P7_Cluster7	ST_P7.7
MP_ST_P7_Cluster8	ST_P7.8
MP_ST_P8_Cluster1	ST_P8.1
MP_ST_P8_Cluster4	ST_P8.4
MP_ST_P8_Cluster5	ST_P8.5
S_ST_P5_Cluster3	ST_P5.3
S_ST_P5_Cluster4	ST_P5.4
S_ST_P5_Cluster5	ST_P5.5
S_ST_P5_Cluster6	ST_P5.6
S_ST_P5_Cluster7	ST_P5.7
